granularite,datum,Year,Month,Weekday Name,Hour,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
Hourly,2014-04-01 13:00:00,2014,1,Saturday,13,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Hourly,2014-04-01 14:00:00,2014,1,Saturday,14,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0
Hourly,2014-04-01 15:00:00,2014,1,Saturday,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 16:00:00,2014,1,Saturday,16,0.0,0.0,0.3,6.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 17:00:00,2014,1,Saturday,17,0.0,0.0,0.0,1.25,1.0,0.0,0.0,0.0
Hourly,2014-04-01 18:00:00,2014,1,Saturday,18,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 19:00:00,2014,1,Saturday,19,0.0,0.0,3.0,9.0,0.0,0.0,4.0,1.0
Hourly,2014-04-01 20:00:00,2014,1,Saturday,20,0.0,0.0,0.0,0.6,3.0,0.0,0.0,0.0
Hourly,2014-04-01 21:00:00,2014,1,Saturday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 22:00:00,2014,1,Saturday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 23:00:00,2014,1,Saturday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 00:00:00,2014,1,Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 01:00:00,2014,1,Sunday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 02:00:00,2014,1,Sunday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 03:00:00,2014,1,Sunday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 04:00:00,2014,1,Sunday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 05:00:00,2014,1,Sunday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 06:00:00,2014,1,Sunday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 07:00:00,2014,1,Sunday,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 08:00:00,2014,1,Sunday,8,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 09:00:00,2014,1,Sunday,9,0.0,0.0,1.0,5.2,2.0,0.0,0.0,0.0
Hourly,2014-05-01 10:00:00,2014,1,Sunday,10,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 11:00:00,2014,1,Sunday,11,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0
Hourly,2014-05-01 12:00:00,2014,1,Sunday,12,1.0,2.0,2.0,12.9,3.0,0.0,0.0,0.0
Hourly,2014-05-01 13:00:00,2014,1,Sunday,13,2.0,1.0,3.0,12.0,2.0,0.0,0.0,0.0
Hourly,2014-05-01 14:00:00,2014,1,Sunday,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 15:00:00,2014,1,Sunday,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 16:00:00,2014,1,Sunday,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 17:00:00,2014,1,Sunday,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 18:00:00,2014,1,Sunday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 19:00:00,2014,1,Sunday,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 20:00:00,2014,1,Sunday,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 21:00:00,2014,1,Sunday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 22:00:00,2014,1,Sunday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-05-01 23:00:00,2014,1,Sunday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 00:00:00,2014,1,Monday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 01:00:00,2014,1,Monday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 02:00:00,2014,1,Monday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 03:00:00,2014,1,Monday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 04:00:00,2014,1,Monday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 05:00:00,2014,1,Monday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 06:00:00,2014,1,Monday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 07:00:00,2014,1,Monday,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 08:00:00,2014,1,Monday,8,0.0,0.0,0.0,1.4,1.0,0.0,0.0,0.0
Hourly,2014-06-01 09:00:00,2014,1,Monday,9,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0
Hourly,2014-06-01 10:00:00,2014,1,Monday,10,0.0,0.0,1.0,0.3,0.0,0.0,3.0,0.0
Hourly,2014-06-01 11:00:00,2014,1,Monday,11,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0
Hourly,2014-06-01 12:00:00,2014,1,Monday,12,1.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0
Hourly,2014-06-01 13:00:00,2014,1,Monday,13,1.0,0.0,0.0,8.0,1.0,2.0,0.0,1.0
Hourly,2014-06-01 14:00:00,2014,1,Monday,14,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Hourly,2014-06-01 15:00:00,2014,1,Monday,15,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
Hourly,2014-06-01 16:00:00,2014,1,Monday,16,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 17:00:00,2014,1,Monday,17,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Hourly,2014-06-01 18:00:00,2014,1,Monday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 19:00:00,2014,1,Monday,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 20:00:00,2014,1,Monday,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 21:00:00,2014,1,Monday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 22:00:00,2014,1,Monday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-06-01 23:00:00,2014,1,Monday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 00:00:00,2014,1,Tuesday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 01:00:00,2014,1,Tuesday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 02:00:00,2014,1,Tuesday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 03:00:00,2014,1,Tuesday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 04:00:00,2014,1,Tuesday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 05:00:00,2014,1,Tuesday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 06:00:00,2014,1,Tuesday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 07:00:00,2014,1,Tuesday,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 08:00:00,2014,1,Tuesday,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 09:00:00,2014,1,Tuesday,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 10:00:00,2014,1,Tuesday,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 11:00:00,2014,1,Tuesday,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 12:00:00,2014,1,Tuesday,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 13:00:00,2014,1,Tuesday,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 14:00:00,2014,1,Tuesday,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 15:00:00,2014,1,Tuesday,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 16:00:00,2014,1,Tuesday,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 17:00:00,2014,1,Tuesday,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 18:00:00,2014,1,Tuesday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 19:00:00,2014,1,Tuesday,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 20:00:00,2014,1,Tuesday,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 21:00:00,2014,1,Tuesday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 22:00:00,2014,1,Tuesday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-07-01 23:00:00,2014,1,Tuesday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 00:00:00,2014,1,Wednesday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 01:00:00,2014,1,Wednesday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 02:00:00,2014,1,Wednesday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 03:00:00,2014,1,Wednesday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 04:00:00,2014,1,Wednesday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 05:00:00,2014,1,Wednesday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 06:00:00,2014,1,Wednesday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 07:00:00,2014,1,Wednesday,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 08:00:00,2014,1,Wednesday,8,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0
Hourly,2014-08-01 09:00:00,2014,1,Wednesday,9,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0
Hourly,2014-08-01 10:00:00,2014,1,Wednesday,10,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Hourly,2014-08-01 11:00:00,2014,1,Wednesday,11,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Hourly,2014-08-01 12:00:00,2014,1,Wednesday,12,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
Hourly,2014-08-01 13:00:00,2014,1,Wednesday,13,0.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0
Hourly,2014-08-01 14:00:00,2014,1,Wednesday,14,0.33,0.0,0.0,10.2,2.0,0.0,0.0,0.0
Hourly,2014-08-01 15:00:00,2014,1,Wednesday,15,1.0,0.0,0.0,2.4,1.0,1.0,0.0,0.0
Hourly,2014-08-01 16:00:00,2014,1,Wednesday,16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 17:00:00,2014,1,Wednesday,17,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
Hourly,2014-08-01 18:00:00,2014,1,Wednesday,18,1.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0
Hourly,2014-08-01 19:00:00,2014,1,Wednesday,19,0.0,0.0,1.5,0.0,2.0,0.0,0.0,0.0
Hourly,2014-08-01 20:00:00,2014,1,Wednesday,20,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Hourly,2014-08-01 21:00:00,2014,1,Wednesday,21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Hourly,2014-08-01 22:00:00,2014,1,Wednesday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-08-01 23:00:00,2014,1,Wednesday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 00:00:00,2014,1,Thursday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 01:00:00,2014,1,Thursday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 02:00:00,2014,1,Thursday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 03:00:00,2014,1,Thursday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 04:00:00,2014,1,Thursday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 05:00:00,2014,1,Thursday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 06:00:00,2014,1,Thursday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 07:00:00,2014,1,Thursday,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hourly,2014-09-01 08:00:00,2014,1,Thursday,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 09:00:00,2014,1,Thursday,9,0.0,0.34,0.0,5.0,1.0,0.0,0.0,0.0
Hourly,2014-09-01 10:00:00,2014,1,Thursday,10,0.0,0.34,0.0,0.0,0.0,0.0,0.0,1.0
Hourly,2014-09-01 11:00:00,2014,1,Thursday,11,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
Hourly,2014-09-01 12:00:00,2014,1,Thursday,12,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
Hourly,2014-09-01 13:00:00,2014,1,Thursday,13,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0
Hourly,2014-09-01 14:00:00,2014,1,Thursday,14,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
Hourly,2014-09-01 15:00:00,2014,1,Thursday,15,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0
Hourly,2014-09-01 16:00:00,2014,1,Thursday,16,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Hourly,2014-09-01 17:00:00,2014,1,Thursday,17,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
Hourly,2014-09-01 18:00:00,2014,1,Thursday,18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 19:00:00,2014,1,Thursday,19,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0
Hourly,2014-09-01 20:00:00,2014,1,Thursday,20,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 21:00:00,2014,1,Thursday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 22:00:00,2014,1,Thursday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-09-01 23:00:00,2014,1,Thursday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 00:00:00,2014,1,Friday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 01:00:00,2014,1,Friday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 02:00:00,2014,1,Friday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 03:00:00,2014,1,Friday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 04:00:00,2014,1,Friday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 05:00:00,2014,1,Friday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 06:00:00,2014,1,Friday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 07:00:00,2014,1,Friday,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 08:00:00,2014,1,Friday,8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Hourly,2014-10-01 09:00:00,2014,1,Friday,9,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
Hourly,2014-10-01 10:00:00,2014,1,Friday,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Hourly,2014-10-01 11:00:00,2014,1,Friday,11,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Hourly,2014-10-01 12:00:00,2014,1,Friday,12,0.0,0.0,0.0,10.3,1.0,1.0,0.0,0.0
Hourly,2014-10-01 13:00:00,2014,1,Friday,13,2.0,0.0,0.0,12.0,2.0,0.0,0.0,1.0
Hourly,2014-10-01 14:00:00,2014,1,Friday,14,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 15:00:00,2014,1,Friday,15,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hourly,2014-10-01 16:00:00,2014,1,Friday,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 17:00:00,2014,1,Friday,17,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0
Hourly,2014-10-01 18:00:00,2014,1,Friday,18,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 19:00:00,2014,1,Friday,19,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 20:00:00,2014,1,Friday,20,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 21:00:00,2014,1,Friday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 22:00:00,2014,1,Friday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-10-01 23:00:00,2014,1,Friday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 00:00:00,2014,1,Saturday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 01:00:00,2014,1,Saturday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 02:00:00,2014,1,Saturday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 03:00:00,2014,1,Saturday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 04:00:00,2014,1,Saturday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 05:00:00,2014,1,Saturday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 06:00:00,2014,1,Saturday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 07:00:00,2014,1,Saturday,7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Hourly,2014-11-01 08:00:00,2014,1,Saturday,8,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0
Hourly,2014-11-01 09:00:00,2014,1,Saturday,9,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Hourly,2014-11-01 10:00:00,2014,1,Saturday,10,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Hourly,2014-11-01 11:00:00,2014,1,Saturday,11,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.2
Hourly,2014-11-01 12:00:00,2014,1,Saturday,12,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0
Hourly,2014-11-01 13:00:00,2014,1,Saturday,13,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Hourly,2014-11-01 14:00:00,2014,1,Saturday,14,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
Hourly,2014-11-01 15:00:00,2014,1,Saturday,15,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
